Source Name               Right Asc.           Declination
bl0716+714 .............. 7.364833 ........... 71.343333 
bl0954+658 .............. 9.979790 ........... 65.565227 
blank06 ................. 6.000000 ........... 40.000000 
blank12 ................. 12.000000 .......... 40.000000 
blank18 ................. 18.000000 .......... 70.000000 
blank24 ................. 23.500000 .......... 40.000000 
bllac ................... 22.045359 .......... 42.277772 
bllac ................... 22.045359 .......... 42.277772 
BLLAC ................... 22.045359 .......... 42.277773 
brightoh ................ 9.759000 ........... 34.510000 
cabeus2 ................. 5.190800 ........... 25.430700 
CasA .................... 23.390778 .......... 58.807778 
cepheus1 ................ 20.852944 .......... 56.890278 
CHICYG .................. 19.842768 .......... 32.914231 
cih ..................... 0.950000 ........... 60.700000 
circular-0119 ........... 14.327890 .......... 33.284605 
circular-0120 ........... 14.253959 .......... 34.783419 
circular-0121 ........... 14.320225 .......... 36.282233 
circular-0137 ........... 14.399184 .......... 31.785792 
circular-0138 ........... 14.465910 .......... 33.284605 
circular-0139 ........... 14.394439 .......... 34.783419 
circular-0140 ........... 14.463355 .......... 36.282233 
circular-0141 ........... 14.388937 .......... 37.781046 
circular-0156 ........... 14.534920 .......... 31.785792 
circular-0157 ........... 14.603930 .......... 33.284605 
circular-0158 ........... 14.534920 .......... 34.783419 
circular-0159 ........... 14.606485 .......... 36.282233 
circular-0160 ........... 14.534920 .......... 37.781046 
circular-0175 ........... 14.670656 .......... 31.785792 
circular-0176 ........... 14.741950 .......... 33.284605 
circular-0177 ........... 14.675401 .......... 34.783419 
circular-0178 ........... 14.749615 .......... 36.282233 
circular-0179 ........... 14.680903 .......... 37.781046 
circular-0196 ........... 14.815881 .......... 34.783419 
circular-1119 ........... 0.327890 ........... 33.284605 
circular-1120 ........... 0.253959 ........... 34.783419 
circular-1121 ........... 0.320225 ........... 36.282233 
circular-1137 ........... 0.399184 ........... 31.785792 
circular-1138 ........... 0.465910 ........... 33.284605 
circular-1139 ........... 0.394439 ........... 34.783419 
circular-1140 ........... 0.463355 ........... 36.282233 
circular-1141 ........... 0.388937 ........... 37.781046 
circular-1156 ........... 0.534920 ........... 31.785792 
circular-1157 ........... 0.603930 ........... 33.284605 
circular-1158 ........... 0.534920 ........... 34.783419 
circular-1159 ........... 0.606485 ........... 36.282233 
circular-1160 ........... 0.534920 ........... 37.781046 
circular-1175 ........... 0.670656 ........... 31.785792 
circular-1176 ........... 0.741950 ........... 33.284605 
circular-1177 ........... 0.675401 ........... 34.783419 
circular-1178 ........... 0.749615 ........... 36.282233 
circular-1179 ........... 0.680903 ........... 37.781046 
circular-1196 ........... 0.815881 ........... 34.783419 
circular-2119 ........... 0.327890 ........... 3.284605 
circular-2120 ........... 0.253959 ........... 4.783419 
